,Song,Artist,Year,SongID,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,artist_popularity,artist_genres,top_genre,genre_code,top10,top5
108,Just Can't Get Enough,The Black Eyed Peas,2011,1nPPh0CiKqVvYl4Mx1aZ21,0.165,0.483,219440,0.628,0.0,0,0.0903,-8.642,0.256,94.056,4,0.218,87,"dance pop,pop,pop rap",pop,36,1,0
109,On The Floor,Jennifer Lopez Featuring Pitbull,2011,3STTVKfJGTdhbg5aLppEzX,0.108,0.73,284867,0.777,0.000467,3,0.069,-5.199,0.0479,130.0,4,0.591,81,"dance pop,pop,pop rap,post-teen pop,urban contemporary",pop,36,1,0
110,S&M,Rihanna,2011,08Bfk5Y2S5fCxgxk371Eel,0.0113,0.766,243533,0.682,0.00016,1,0.104,-5.02,0.0419,127.966,4,0.833,92,"barbadian pop,dance pop,pop,post-teen pop,urban contemporary",pop,36,1,0
111,Pumped Up Kicks,Foster The People,2011,7w87IxuO7BDcJ3YUqCyMTT,0.145,0.733,239600,0.71,0.115,5,0.0956,-5.849,0.0292,127.975,4,0.965,78,"indietronica,modern rock,pop,rock",pop,36,0,0
112,Last Friday Night (T.G.I.F.),Katy Perry,2011,3wllvxhwIbGYY5rte1bZFn,0.00125,0.651,230733,0.812,3.01e-05,3,0.667,-3.797,0.0409,126.023,4,0.72,88,"dance pop,pop,post-teen pop",pop,36,0,0
113,Just The Way You Are,Bruno Mars,2011,47Slg6LuqLaX0VodpSCvPt,0.0151,0.637,220733,0.843,0.0,5,0.0876,-5.413,0.0432,109.012,4,0.434,94,"dance pop,pop",pop,36,0,0
114,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2011,4270XtiZeN9yYPR81dn8Ow,0.0258,0.659,231653,0.882,9.2e-06,5,0.144,-4.623,0.0465,125.985,4,0.314,80,"dance pop,latin,latin pop,mexican pop,pop",pop,36,0,0
115,Raise Your Glass,P!nk,2011,4zzL7ATa95g88MwzuQ1v8G,0.00507,0.697,203400,0.723,0.0,7,0.0284,-4.932,0.0796,122.014,4,0.648,87,"dance pop,pop,post-teen pop",pop,36,0,0
116,Born This Way,Lady Gaga,2011,6r2BECwMgEoRb5yLfp0Hca,0.00327,0.587,260253,0.828,0.0,11,0.331,-5.108,0.161,123.907,4,0.494,90,"dance pop,pop,post-teen pop",pop,36,0,0
117,F**kin' Perfect,P!nk,2011,1H9AbpMAShkCVuaPAR6CHf,0.0213,0.559,213587,0.655,0.0,7,0.353,-4.988,0.0335,91.957,4,0.49,87,"dance pop,pop,post-teen pop",pop,36,0,0
118,What's My Name?,Rihanna Featuring Drake,2011,5xZtUAVUVfjBtVtMOgMkyy,0.229,0.69,263173,0.786,0.0,2,0.0797,-2.959,0.0692,100.049,4,0.583,92,"barbadian pop,dance pop,pop,post-teen pop,urban contemporary",pop,36,0,0
119,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,2011,3hsmbFKT5Cujb5GQjqEU39,0.0339,0.767,222587,0.677,5.51e-06,11,0.144,-6.128,0.184,146.155,4,0.538,91,"dance pop,pop,pop rap,r&b,rap",pop,36,0,0
120,Down On Me,Jeremih Featuring 50 Cent,2011,5ZxCk43qwHrzVUahCyRLEm,0.0369,0.7,228453,0.598,0.0,2,0.111,-7.783,0.114,160.041,4,0.594,81,"chicago rap,dance pop,hip hop,pop,pop rap,post-teen pop,r&b,southern hip hop,trap,urban contemporary",pop,36,0,0
